event_id,date,away_team,away_player,away_score,home_team,home_player,home_score,total_score,league,home_str,away_str,players,odd_over,odd_under,handicap,prob_over,prob_under,ev_over,ev_under,bet_type,bet_odd,bet_prob,bet_ev,hot_ev,minimum_line,minimum_odd,time_sent,lambda_pred,ended,raw_score,profit,result,canceled,sent,message_id,chat_id,edited,result_emoji,time_range,saved_on_excel,month,totally_processed,league_id
9595196,2025-03-01 00:00:00,Aston Villa,Sensei,2.0,AC Milan,Jetli,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595197,2025-03-01 00:00:00,A.Madrid,Mariner,1.0,Lille,Razvan,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595311,2025-03-01 00:15:00,Dortmund,Hussein,3.0,AC Milan,Jetli,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595312,2025-03-01 00:15:00,Aston Villa,Sensei,4.0,A.Madrid,Mariner,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595392,2025-03-01 00:30:00,Dortmund,Hussein,2.0,Lille,Razvan,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595338,2025-03-01 00:30:00,AC Milan,Jetli,3.0,A.Madrid,Mariner,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595410,2025-03-01 00:45:00,Dortmund,Hussein,2.0,A.Madrid,Mariner,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595411,2025-03-01 00:45:00,Lille,Razvan,1.0,Aston Villa,Sensei,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595429,2025-03-01 01:00:00,Lille,Razvan,1.0,AC Milan,Jetli,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595428,2025-03-01 01:00:00,Dortmund,Hussein,2.0,Aston Villa,Sensei,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595675,2025-03-01 01:15:00,Real Sociedad,Razvan,3.0,Fenerbahce,Mariner,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595674,2025-03-01 01:15:00,Rangers,Jetli,2.0,PAOK,Sensei,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595677,2025-03-01 01:30:00,Fenerbahce,Mariner,3.0,PAOK,Sensei,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595676,2025-03-01 01:30:00,Rangers,Jetli,3.0,Lazio,Hussein,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595727,2025-03-01 01:45:00,Real Sociedad,Razvan,1.0,Lazio,Hussein,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595728,2025-03-01 01:45:00,Fenerbahce,Mariner,2.0,Rangers,Jetli,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595729,2025-03-01 02:00:00,Fenerbahce,Mariner,5.0,Lazio,Hussein,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595730,2025-03-01 02:00:00,PAOK,Sensei,3.0,Real Sociedad,Razvan,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595757,2025-03-01 02:15:00,PAOK,Sensei,0.0,Lazio,Hussein,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595758,2025-03-01 02:15:00,Rangers,Jetli,4.0,Real Sociedad,Razvan,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595759,2025-03-01 02:30:00,PAOK,Sensei,1.0,Rangers,Jetli,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595767,2025-03-01 02:30:00,Fenerbahce,Mariner,3.0,Real Sociedad,Razvan,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595966,2025-03-01 02:45:00,Lazio,Hussein,0.0,Rangers,Jetli,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595967,2025-03-01 02:45:00,PAOK,Sensei,5.0,Fenerbahce,Mariner,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595969,2025-03-01 03:00:00,Rangers,Jetli,5.0,Fenerbahce,Mariner,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9595968,2025-03-01 03:00:00,Lazio,Hussein,3.0,Real Sociedad,Razvan,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9596015,2025-03-01 03:15:00,Real Sociedad,Razvan,0.0,PAOK,Sensei,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9596014,2025-03-01 03:15:00,Lazio,Hussein,2.0,Fenerbahce,Mariner,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
